# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
     1.88e+03    1.88e+03     107.088       0.001
     1.89e+03    1.89e+03     107.092       0.001
     1.89e+03    1.89e+03     107.093       0.001
     1.89e+03    1.89e+03     107.094       0.001
      1.9e+03     1.9e+03     107.094       0.001
      1.9e+03     1.9e+03     107.093       0.001
      1.9e+03     1.9e+03     107.091       0.001
      1.9e+03     1.9e+03     107.088       0.001
     1.91e+03    1.91e+03     107.084       0.001
     1.91e+03    1.91e+03     107.079       0.001
     1.91e+03    1.91e+03     107.074       0.001
     1.92e+03    1.92e+03     107.068       0.001
     1.92e+03    1.92e+03     107.061       0.001
     1.92e+03    1.92e+03     107.054       0.001
     1.93e+03    1.93e+03     107.046       0.001
     1.93e+03    1.93e+03     107.038       0.001
     1.93e+03    1.93e+03     107.029       0.001
     1.93e+03    1.93e+03     107.020       0.001
     1.94e+03    1.94e+03     107.010       0.001
     1.94e+03    1.94e+03     107.000       0.001
     1.94e+03    1.94e+03     106.990       0.001
     1.95e+03    1.95e+03     106.979       0.001
     1.95e+03    1.95e+03     106.967       0.001
     1.95e+03    1.95e+03     106.956       0.001
     1.96e+03    1.96e+03     106.945       0.001
     1.96e+03    1.96e+03     106.933       0.001
     1.96e+03    1.96e+03     106.921       0.001
     1.96e+03    1.96e+03     106.909       0.001
     1.97e+03    1.97e+03     106.896       0.001
     1.97e+03    1.97e+03     106.883       0.001
     1.97e+03    1.97e+03     106.870       0.001
     1.98e+03    1.98e+03     106.857       0.001
     1.98e+03    1.98e+03     106.843       0.001
     1.98e+03    1.98e+03     106.829       0.001
     1.99e+03    1.99e+03     106.815       0.001
     1.99e+03    1.99e+03     106.801       0.001
     1.99e+03    1.99e+03     106.787       0.001
     1.99e+03    1.99e+03     106.772       0.001
        2e+03       2e+03     106.757       0.001
        2e+03       2e+03     106.742       0.001
        2e+03       2e+03     106.727       0.001
     2.01e+03    2.01e+03     106.712       0.001
     2.01e+03    2.01e+03     106.697       0.001
     2.01e+03    2.01e+03     106.682       0.001
     2.02e+03    2.02e+03     106.667       0.001
     2.02e+03    2.02e+03     106.651       0.001
     2.02e+03    2.02e+03     106.636       0.001
     2.02e+03    2.02e+03     106.621       0.001
     2.03e+03    2.03e+03     106.605       0.001
     2.03e+03    2.03e+03     106.589       0.001
     2.03e+03    2.03e+03     106.573       0.001
     2.04e+03    2.04e+03     106.557       0.001
     2.04e+03    2.04e+03     106.541       0.001
     2.04e+03    2.04e+03     106.526       0.001
     2.05e+03    2.05e+03     106.510       0.001
     2.05e+03    2.05e+03     106.494       0.001
     2.05e+03    2.05e+03     106.478       0.001
     2.05e+03    2.05e+03     106.462       0.001
     2.06e+03    2.06e+03     106.446       0.001
     2.06e+03    2.06e+03     106.430       0.001
     2.06e+03    2.06e+03     106.413       0.001
     2.07e+03    2.07e+03     106.397       0.001
     2.07e+03    2.07e+03     106.381       0.001
     2.07e+03    2.07e+03     106.366       0.001
     2.08e+03    2.08e+03     106.350       0.001
     2.08e+03    2.08e+03     106.335       0.001
     2.08e+03    2.08e+03     106.320       0.001
     2.08e+03    2.08e+03     106.304       0.001
     2.09e+03    2.09e+03     106.289       0.001
     2.09e+03    2.09e+03     106.273       0.001
     2.09e+03    2.09e+03     106.257       0.001
      2.1e+03     2.1e+03     106.241       0.001
      2.1e+03     2.1e+03     106.225       0.001
      2.1e+03     2.1e+03     106.209       0.001
     2.11e+03    2.11e+03     106.192       0.001
     2.11e+03    2.11e+03     106.176       0.001
     2.11e+03    2.11e+03     106.159       0.001
     2.11e+03    2.11e+03     106.142       0.001
     2.12e+03    2.12e+03     106.125       0.001
     2.12e+03    2.12e+03     106.108       0.001
     2.12e+03    2.12e+03     106.091       0.001
     2.13e+03    2.13e+03     106.074       0.001
     2.13e+03    2.13e+03     106.057       0.001
     2.13e+03    2.13e+03     106.041       0.001
     2.14e+03    2.14e+03     106.025       0.001
     2.14e+03    2.14e+03     106.008       0.001
     2.14e+03    2.14e+03     105.992       0.001
     2.14e+03    2.14e+03     105.975       0.001
     2.15e+03    2.15e+03     105.958       0.001
     2.15e+03    2.15e+03     105.942       0.001
     2.15e+03    2.15e+03     105.925       0.001
     2.16e+03    2.16e+03     105.908       0.001
     2.16e+03    2.16e+03     105.891       0.001
     2.16e+03    2.16e+03     105.873       0.001
     2.17e+03    2.17e+03     105.856       0.001
     2.17e+03    2.17e+03     105.838       0.001
     2.17e+03    2.17e+03     105.820       0.001
     2.17e+03    2.17e+03     105.802       0.001
     2.18e+03    2.18e+03     105.784       0.001
     2.18e+03    2.18e+03     105.766       0.001
